# acceptance rate 0.42
# Om   w   H0
0.206 -0.269 59.656
0.206 -0.269 59.656
0.203 -0.268 59.668
0.203 -0.268 59.668
0.185 -0.224 59.479
0.185 -0.224 59.479
0.185 -0.224 59.479
0.185 -0.224 59.479
0.185 -0.224 59.479
0.185 -0.224 59.479
0.188 -0.224 59.453
0.188 -0.224 59.453
0.188 -0.224 59.453
0.188 -0.224 59.453
0.275 -0.292 59.410
0.275 -0.292 59.410
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.285 -0.300 59.366
0.311 -0.298 59.179
0.311 -0.298 59.179
0.311 -0.298 59.179
0.309 -0.299 59.196
0.368 -0.350 59.092
0.368 -0.350 59.092
