# acceptance rate 0.44
# Om   w   H0
0.340 0.147 54.218
0.387 0.158 54.147
0.350 0.148 54.199
0.350 0.148 54.199
0.289 0.132 54.212
0.294 0.133 54.219
0.294 0.133 54.219
0.294 0.133 54.219
0.322 0.129 54.326
0.375 0.126 54.496
0.375 0.126 54.496
0.375 0.126 54.496
0.375 0.126 54.496
0.341 0.119 54.525
0.346 0.116 54.564
0.454 0.114 54.870
0.454 0.114 54.870
0.454 0.114 54.870
0.287 0.102 54.648
0.447 0.111 54.859
0.465 0.110 54.904
0.395 0.125 54.450
0.252 0.128 54.067
0.464 0.124 54.634
0.320 0.104 54.708
0.189 0.089 54.690
0.271 0.071 54.903
0.284 0.068 54.936
0.284 0.068 54.936
0.259 0.100 54.478
0.259 0.100 54.478
0.259 0.100 54.478
0.194 0.114 54.197
0.252 0.111 54.291
0.261 0.109 54.310
0.412 0.089 54.837
0.412 0.089 54.837
0.366 0.095 54.691
0.445 0.088 54.953
0.375 0.093 54.814
0.375 0.093 54.814
0.375 0.093 54.814
0.391 0.092 54.859
0.391 0.092 54.859
0.391 0.092 54.859
0.391 0.092 54.859
0.429 0.078 55.090
0.352 0.088 54.794
0.352 0.088 54.794
0.382 0.068 55.153
0.343 0.093 54.799
0.287 0.095 54.642
0.250 0.097 54.565
0.250 0.097 54.565
0.250 0.097 54.565
0.245 0.089 54.646
0.245 0.089 54.646
0.245 0.089 54.646
0.400 0.104 54.648
0.400 0.104 54.648
0.373 0.109 54.543
0.420 0.108 54.636
0.372 0.113 54.508
0.303 0.102 54.539
0.245 0.098 54.392
0.208 0.096 54.262
0.295 0.085 54.629
0.237 0.094 54.520
0.354 0.057 55.546
0.360 0.167 54.454
0.375 0.101 55.021
0.388 0.099 54.987
0.388 0.099 54.987
0.404 0.117 54.700
0.404 0.117 54.700
0.407 0.121 54.672
0.407 0.121 54.672
0.407 0.121 54.672
0.407 0.121 54.672
0.407 0.121 54.672
0.342 0.110 54.524
0.240 0.092 54.619
0.240 0.092 54.619
0.240 0.092 54.619
0.240 0.092 54.619
0.234 0.170 53.313
0.257 0.170 53.432
0.257 0.170 53.432
0.257 0.170 53.432
0.251 0.177 53.403
0.368 0.161 54.057
0.368 0.161 54.057
0.368 0.161 54.057
0.372 0.162 54.057
0.307 0.168 53.844
0.295 0.172 53.790
0.324 0.177 53.826
0.324 0.177 53.826
0.250 0.134 53.699
0.298 0.099 54.612
0.298 0.099 54.612
0.325 0.103 54.698
0.325 0.103 54.698
0.037 0.057 54.740
0.114 0.060 54.865
0.114 0.060 54.865
0.114 0.060 54.865
0.097 0.069 54.686
0.097 0.069 54.686
0.097 0.069 54.686
0.097 0.069 54.686
0.097 0.069 54.686
0.097 0.069 54.686
0.102 0.070 54.675
0.228 0.100 54.528
0.228 0.100 54.528
0.081 0.073 54.538
0.105 0.081 54.513
0.105 0.081 54.513
0.105 0.081 54.513
0.104 0.082 54.487
0.103 0.087 54.440
0.103 0.087 54.440
0.061 0.084 54.402
0.061 0.084 54.402
0.061 0.084 54.402
0.061 0.084 54.402
0.121 0.101 54.345
0.121 0.101 54.345
0.121 0.101 54.345
0.108 0.096 54.397
0.086 0.093 54.396
0.086 0.093 54.396
0.104 0.107 54.239
0.072 0.100 54.241
0.072 0.100 54.241
0.084 0.120 54.004
0.084 0.120 54.004
0.084 0.120 54.004
0.084 0.120 54.004
0.084 0.120 54.004
0.084 0.120 54.004
0.175 0.133 53.979
0.175 0.133 53.979
0.175 0.133 53.979
0.181 0.134 53.986
0.181 0.134 53.986
0.161 0.131 53.961
0.161 0.131 53.960
0.171 0.121 54.081
0.234 0.134 53.859
0.234 0.134 53.859
0.294 0.146 53.902
0.294 0.146 53.902
0.211 0.133 53.754
0.237 0.141 53.658
0.238 0.141 53.660
0.237 0.144 53.663
0.237 0.144 53.663
0.237 0.144 53.663
0.237 0.144 53.663
0.188 0.127 53.991
0.138 0.123 53.993
0.151 0.124 53.919
0.151 0.124 53.919
0.159 0.125 53.927
0.310 0.153 53.973
0.204 0.142 53.591
0.333 0.143 53.950
0.333 0.143 53.950
0.333 0.143 53.950
0.264 0.133 54.022
0.264 0.133 54.022
0.264 0.133 54.023
0.275 0.134 54.043
0.275 0.134 54.043
0.312 0.143 54.057
0.269 0.125 54.069
0.269 0.125 54.069
0.266 0.117 54.069
0.266 0.117 54.069
0.266 0.117 54.069
0.266 0.117 54.069
0.266 0.117 54.069
0.266 0.117 54.069
0.223 0.113 54.108
0.182 0.116 53.959
0.189 0.126 54.005
0.189 0.126 54.005
0.178 0.114 54.276
0.178 0.114 54.276
0.124 0.112 54.100
0.121 0.115 54.005
0.121 0.114 54.022
0.120 0.115 53.996
0.116 0.144 53.663
0.051 0.149 53.433
0.099 0.131 53.810
0.147 0.140 53.714
0.147 0.140 53.714
0.149 0.140 53.711
0.152 0.140 53.725
0.213 0.154 53.717
0.182 0.148 53.703
0.166 0.152 53.592
0.166 0.152 53.592
0.166 0.152 53.592
